customer_id,acquisition_date,customer_segment,city,preferred_vehicle_type,tenure_days,total_subscriptions,avg_subscription_length_months,avg_monthly_price_eur,vehicle_swaps,support_tickets,late_payments,payment_method_changes,app_engagement_score,usage_intensity,price_sensitivity,customer_lifetime_value,churned,avg_monthly_spend,tenure_months,subscriptions_per_year,support_tickets_per_month,swaps_per_subscription,high_engagement,payment_issues,is_premium_segment,is_price_sensitive,customer_segment_encoded,city_encoded,preferred_vehicle_type_encoded,churn_probability,acquisition_month
FINN_000000,2022-01-01 00:00:00.000000000,Young_Family,Berlin,Mid_Size_ICE,1294,1,17.986522789457275,1002.1148570082285,1,1,0,1,0.6031726238603148,0.8688000341968999,0.524990774933539,17303.57924470293,False,870.6374220379703,43.13333333333333,0.2782071097372488,0.023183925811437404,1.0,False,False,False,False,4,0,3,0.008916864772536075,2022-01
FINN_000001,2022-01-01 05:15:25.385077015,Premium_User,Hamburg,Mid_Size_ICE,1294,3,27.19308125370049,1207.9197636104275,2,1,0,0,0.9049513895154473,0.6120063125381631,0.13855040208254246,95092.23951004718,False,739.2545203691873,43.13333333333333,0.8346213292117465,0.023183925811437404,0.6666666666666666,True,False,True,False,2,3,3,0.007045167200780375,2022-01
FINN_000002,2022-01-01 10:30:50.770154030,Corporate_User,Stuttgart,Compact_Electric,1294,3,27.498981393437347,947.8645084896693,2,0,0,0,0.7133492063798399,0.8767749906868556,0.24155289245128414,75850.04768395002,False,831.0638956034308,43.13333333333333,0.8346213292117465,0.0,0.6666666666666666,True,False,True,False,0,5,1,0.021823049648593138,2022-01
FINN_000003,2022-01-01 15:46:16.155231046,Young_Family,Berlin,SUV_Electric,1294,2,20.713646265891473,800.5354895964924,0,1,0,0,0.5507047177127453,0.7251968504167476,0.7670927593323693,31837.457193204453,False,580.5458157022053,43.13333333333333,0.5564142194744977,0.023183925811437404,0.0,False,False,False,True,4,0,4,0.3419421423756238,2022-01
FINN_000004,2022-01-01 21:01:41.540308061,Urban_Professional,Stuttgart,Mid_Size_ICE,1293,1,9.505612478669443,679.9199766088896,0,1,1,0,0.6915370385784236,0.6087119706627658,0.5470962002499992,6139.903023442591,False,413.8754288545788,43.1,0.27842227378190254,0.02320185614849188,0.0,False,False,False,False,3,5,3,0.1168630909383892,2022-01
FINN_000005,2022-01-02 02:17:06.925385077,Urban_Professional,Munich,Luxury_ICE,1293,1,9.14134353263603,631.9192554912773,0,1,0,0,0.8459989853253287,0.800977902648397,0.4879559632165758,5487.761449366695,False,506.15335990653983,43.1,0.27842227378190254,0.02320185614849188,0.0,False,False,False,False,3,4,2,0.060659984432414375,2022-01
FINN_000006,2022-01-02 07:32:32.310462092,Urban_Professional,Stuttgart,Compact_Electric,1293,2,20.483363791796474,584.6151263520841,0,1,0,0,0.5726973831261404,0.7200436401853677,0.5371408019568886,22752.28019138792,False,420.9484036859833,43.1,0.5568445475638051,0.02320185614849188,0.0,False,False,False,False,3,5,1,0.11782055631134795,2022-01
FINN_000007,2022-01-02 12:47:57.695539107,Eco_Conscious,Stuttgart,SUV_Electric,1293,2,6.561475687870924,738.5406706544281,2,0,0,0,0.8617493713962574,0.5441209713651031,0.6296296650234314,9207.241644505542,True,401.8554671091221,43.1,0.5568445475638051,0.0,1.0,True,False,False,True,1,5,4,0.6772760804495405,2022-01
FINN_000008,2022-01-02 18:03:23.080616123,Corporate_User,Munich,Luxury_ICE,1293,3,26.40993984073112,1092.7849360382602,0,3,0,0,0.8165828922452527,0.8382586348404215,0.1819988749373989,83983.71866111647,False,916.0364086576093,43.1,0.8352668213457076,0.06960556844547564,0.0,False,False,True,False,0,4,2,0.011590876641054043,2022-01
FINN_000009,2022-01-02 23:18:48.465693138,Corporate_User,Berlin,Luxury_ICE,1292,6,30.910621829508393,868.388167573117,1,3,0,0,0.6031432061793953,0.9963218854664029,0.3134538700935456,156222.87420960126,False,865.1941364331626,43.06666666666667,1.671826625386997,0.0696594427244582,0.16666666666666666,False,False,True,False,0,0,2,0.01599302983353484,2022-01
